Order,Assignment,Unit,Points,Link,Purple highlights have instructional videos
1,Compiling Practice,Basics and Printing,3,https://docs.google.com/document/d/181VVW6kxHCwwXo6EybQhvftBurr6M1dmKFVv9gDIylM/edit?usp=sharing,
2,Hello World,Basics and Printing,5,https://docs.google.com/document/d/1Vccmp0iNooUHY_r3ElmgaUvF16-58AgGsqbFC-CW8tY/edit?usp=sharing,
3,More Printing,Basics and Printing,10,https://docs.google.com/document/d/1jlsWP99fmlmCYyhKEDeLIQMX-B_SwOy1cCqEaLaqZmc/edit?usp=sharing,
4,Printing Choices,Basics and Printing,10,https://docs.google.com/document/d/1BJ46drf-3tY0ourD6uvQ0o_0zfGwT4FikpOvsVvFT-M/edit?usp=sharing,
5,A Good First Programby Zed Shaw,Basics and Printing,4,https://docs.google.com/document/d/1nYbM4BHGwe3iMGg2FWAWd78ZPD251xpvI2Sqv64ZHs0/edit?usp=sharing,
6,Comments and Slashesby Zed Shaw,Basics and Printing,3,https://docs.google.com/document/d/1uiVwO6EHerUxgtFgT7TB-qXOWuJKMWXpQlo0Yjx4amY/edit?usp=sharing,
7,A Letter to Yourself,Basics and Printing,7,https://docs.google.com/document/d/15GQNyaLZUU66TEZV83v6SAycYzgkC8sz6WI8vzzm2UE/edit?usp=sharing,
8,Your Initials,Basics and Printing,6,https://docs.google.com/document/d/1fe46nvuiZWHefI2ci8CBCLL-XSuhSPLPb6JS-lvDj6o/edit?usp=sharing,
9,Numbers and Mathby Zed Shaw,Basics and Printing,7,https://docs.google.com/document/d/1eiER4F9XHK5HbayzsK6xh1ysgjSQsy5aMszyjA5_ReY/edit?usp=sharing,
10,Saving Information in Variables,Variables,10,https://drive.google.com/open?id=18mmmvo-Qeo7tUM18LfvrpsKyHwwH_MsFHrqsM9TYM-4,
11,Mathematical Operations,Variables,10,https://docs.google.com/document/d/1ykicXd0jOTt2uancYjhFbT1xNvEDeTHRet2ZEPfVL_Y/edit?usp=sharing,
12,Variables and Namesby Zed Shaw,Variables,7,https://docs.google.com/document/d/1-3ILb06Db7DhK0xKgpSgvsFgGl-BpLI2L2PGU56_prc/edit?usp=sharing,
13,More Variables and Printingby Zed Shaw,Variables,7,https://docs.google.com/document/d/1tgTeKjrTFg8Uo3Y7yM00CKVBFdKUdqK2m-X35V1IHgk/edit?usp=sharing,
14,Using Variables,Variables,9,https://docs.google.com/document/d/1tgTeKjrTFg8Uo3Y7yM00CKVBFdKUdqK2m-X35V1IHgk/edit?usp=sharing,
15,Still Using Variables,Variables,10,https://docs.google.com/document/d/1TF39lOW3LesdPf5xYwcSId-YFZF_Gl2OXbVQpr-1ams/edit?usp=sharing,
16,Your Schedule,Variables,15,https://docs.google.com/document/d/1SBDaGveWHxkjhL_mtUaIGr1pclRHKf-AdIP7FU1VjD4/edit?usp=sharing,
17,Getting Input from a Human,Keyboard Input,10,https://docs.google.com/document/d/1owGf8CDJjdJ7FJVZCRhLuX_oK8L_1dNU4oBJ7jGRE7Q/edit?usp=sharing,
18,Asking Questionsby Zed Shaw,Keyboard Input,10,https://docs.google.com/document/d/1B8nf8d1mOoGA-UsSN3SMPeTQNACwl9_rviQkvkCeIRc/edit?usp=sharing,
19,Another Forgetful Machine,Keyboard Input,12,https://docs.google.com/document/d/1e4s_0ZBhwlzMlgZR0on0ShyYQFfF1Kvpl_99RjeiBFY/edit?usp=sharing,
20,Storing the Human Response,Keyboard Input,10,https://docs.google.com/document/d/12aiCLqwT9hOc6K7_SZbE0stGk94x8SfDiWuT55oC8U0/edit?usp=sharing,
21,"Name, Age, and Salary",Keyboard Input,15,https://docs.google.com/document/d/1q7cyLJTBeOxli2DcWMK-UyoBIamNu43xZmBX7ElYbrg/edit?usp=sharing,
22,More User Input of Data,Keyboard Input,16,https://docs.google.com/document/d/1UOeR46b7-wM0AGp3OwgmH_R_2Q0xHJ-L9cHt__ewiqc/edit?usp=sharing,
23,Age in Five Years,Keyboard Input,18,https://docs.google.com/document/d/11ZRNq4e9l5tT7MaEVUfikP_ekoihUdBKbWegxjYLoOg/edit?usp=sharing,
24,A Dumb Calculator,Keyboard Input,20,https://docs.google.com/document/d/1j6KL7PHUiK7mbFO5n7cFxxCLaks_bAdFHt_vNO4v6VY/edit?usp=sharing,
25,Calculations With User Input,Keyboard Input,20,https://docs.google.com/document/d/1ne1sdYigbPXxib7-uTEFMRUxaonJAooDBh_XDr-EMfQ/edit?usp=sharing,
26,Variables Only Hold Values,Keyboard Input,10,https://docs.google.com/document/d/1Tu_drMyVQ7PIHuCTXwyUKHO9lHoSH-b-IQzdYC5t50Y/edit?usp=sharing,
27,Variable Modification Shortcuts,Keyboard Input,10,https://docs.google.com/document/d/19YJzC5H_Fl1vgkvebhVTOLmX9HlUdx3fwC8Oj8eWM7g/edit?usp=sharing,
28,Boolean Expressions,If Statements,10,https://drive.google.com/open?id=1LxkwUw3XLffsfJhD4DDr8GWFPEfrTIoFDoCTvOo6CPA,
29,String Comparison,If Statements,10,https://docs.google.com/document/d/1oFSaWo-ZQQkvGuc832qAoScX3n_tva08X_oj4gNAOOE/edit?usp=sharing,
30,Compound Boolean Expressions,If Statements,10,https://docs.google.com/document/d/1lPWXqyw-1XF0wlog2bJ0YBRfHIh1tM35H6hWjrl2ICU/edit?usp=sharing,
31,Making Decisions With If Statements,If Statements,10,https://drive.google.com/open?id=1m0xsV0Hp1KU0yHl1LVHO4d4m-GAE62beze5maAN8dzg,
32,More If Statements,If Statements,10,https://docs.google.com/document/d/1APyLWJ90diY0gUxHamPRLIsPhmfWs1_G5zP3r9jBXrw/edit?usp=sharing,
